town	comarca	territori	dialecte	notes
Manises	Horta Sud	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Massanassa	Horta Sud	País Valencià	valencian	
Mislata	Horta Sud	País Valencià	valencian	
Paiporta	Horta Sud	País Valencià	valencian	
Picanya	Horta Sud	País Valencià	valencian	
Picassent	Horta Sud	País Valencià	valencian	
Quart de Poblet	Horta Sud	País Valencià	valencian	
Sedaví	Horta Sud	País Valencià	valencian	
Silla	Horta Sud	País Valencià	valencian	
Torrent (Horta Sud)	Horta Sud	País Valencià	valencian	
Xirivella	Horta Sud	País Valencià	valencian	
Alcalalí	Marina Alta	País Valencià	valencian	
Beniarbeig	Marina Alta	País Valencià	valencian	
Benidoleig	Marina Alta	País Valencià	valencian	
Benigembla	Marina Alta	País Valencià	valencian	
Benimeli	Marina Alta	País Valencià	valencian	
Benissa	Marina Alta	País Valencià	valencian	
Calp	Marina Alta	País Valencià	valencian	
Castell de Castells	Marina Alta	País Valencià	valencian	
Dénia	Marina Alta	País Valencià	valencian	
Gata de Gorgos	Marina Alta	País Valencià	valencian	
Llíber	Marina Alta	País Valencià	valencian	
Murla	Marina Alta	País Valencià	valencian	
Ondara	Marina Alta	País Valencià	valencian	
Orba	Marina Alta	País Valencià	valencian	
Parcent	Marina Alta	País Valencià	valencian	
Pedreguer	Marina Alta	País Valencià	valencian	
Pego	Marina Alta	País Valencià	valencian	
Sagra	Marina Alta	País Valencià	valencian	
Sanet i els Negrals	Marina Alta	País Valencià	valencian	
Senija	Marina Alta	País Valencià	valencian	
Teulada (Marina Alta)	Marina Alta	País Valencià	valencian	
Tormos	Marina Alta	País Valencià	valencian	
Xaló	Marina Alta	País Valencià	valencian	
Xàbia	Marina Alta	País Valencià	valencian	
el Poble Nou de Benitatxell	Marina Alta	País Valencià	valencian	
el Ràfol d'Almúnia	Marina Alta	País Valencià	valencian	
el Verger	Marina Alta	País Valencià	valencian	
els Poblets	Marina Alta	País Valencià	valencian	
l'Atzúbia	Marina Alta	País Valencià	valencian	
la Vall d'Alcalà	Marina Alta	País Valencià	valencian	
la Vall d'Ebo	Marina Alta	País Valencià	valencian	
la Vall de Gallinera	Marina Alta	País Valencià	valencian	
la Vall de Laguar	Marina Alta	País Valencià	valencian	
Altea	Marina Baixa	País Valencià	valencian	
Beniardà	Marina Baixa	País Valencià	valencian	
Benidorm	Marina Baixa	País Valencià	valencian	
Benifato	Marina Baixa	País Valencià	valencian	
Benimantell	Marina Baixa	País Valencià	valencian	
Bolulla	Marina Baixa	País Valencià	valencian	
Callosa d'en Sarrià	Marina Baixa	País Valencià	valencian	
Confrides	Marina Baixa	País Valencià	valencian	
Finestrat	Marina Baixa	País Valencià	valencian	
Orxeta	Marina Baixa	País Valencià	valencian	
Polop	Marina Baixa	País Valencià	valencian	
Sella (Marina Baixa)	Marina Baixa	País Valencià	valencian	
Tàrbena	Marina Baixa	País Valencià	valencian	
el Castell de Guadalest	Marina Baixa	País Valencià	valencian	
l'Alfàs del Pi	Marina Baixa	País Valencià	valencian	
la Nucia	Marina Baixa	País Valencià	valencian	
la Vila Joiosa	Marina Baixa	País Valencià	valencian	
relleu (municipi)	Marina Baixa	País Valencià	valencian	
Almassora	Plana Alta	País Valencià	valencian	
Benicàssim	Plana Alta	País Valencià	valencian	
Benlloc	Plana Alta	País Valencià	valencian	
Borriol	Plana Alta	País Valencià	valencian	
Cabanes (Plana Alta)	Plana Alta	País Valencià	valencian	
Castelló de la Plana	Plana Alta	País Valencià	valencian	
Orpesa	Plana Alta	País Valencià	valencian	
Sant Joan de Moró	Plana Alta	País Valencià	valencian	
Torreblanca	Plana Alta	País Valencià	valencian	
Vilafamés	Plana Alta	País Valencià	valencian	
Vilanova d'Alcolea	Plana Alta	País Valencià	valencian	
la Pobla Tornesa	Plana Alta	País Valencià	valencian	
la Serra d'en Galceran (Plana Alta)	Plana Alta	País Valencià	valencian	
la Torre d'en Doménec	Plana Alta	País Valencià	valencian	
la Vall d'Alba	Plana Alta	País Valencià	valencian	
les Coves de Vinromà	Plana Alta	País Valencià	valencian	
Alfondeguilla	Plana Baixa	País Valencià	valencian	
Almenara	Plana Baixa	País Valencià	valencian	
Artana	Plana Baixa	País Valencià	valencian	
Aín	Plana Baixa	País Valencià	valencian	
Betxí	Plana Baixa	País Valencià	valencian	
Borriana	Plana Baixa	País Valencià	valencian	
Eslida	Plana Baixa	País Valencià	valencian	
La Llosa	Plana Baixa	País Valencià	valencian	
Moncofa	Plana Baixa	País Valencià	valencian	
Nules	Plana Baixa	País Valencià	valencian	
Onda	Plana Baixa	País Valencià	valencian	
Ribesalbes	Plana Baixa	País Valencià	valencian	
Suera	Plana Baixa	País Valencià	valencian	
Tales (Plana Baixa)	Plana Baixa	País Valencià	valencian	
Vila-real	Plana Baixa	País Valencià	valencian	
Xilxes	Plana Baixa	País Valencià	valencian	
l'Alcúdia de Veo	Plana Baixa	País Valencià	valencian	
la Vall d'Uixó	Plana Baixa	País Valencià	valencian	
la Vilavella	Plana Baixa	País Valencià	valencian	
les Alqueries	Plana Baixa	País Valencià	valencian	
Camporrobles	Plana d'Utiel	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Caudete de las Fuentes	Plana d'Utiel	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Fuenterrobles	Plana d'Utiel	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Requena	Plana d'Utiel	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Sinarques	Plana d'Utiel	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Utiel	Plana d'Utiel	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Venta del Moro	Plana d'Utiel	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Villargordo del Cabriel	Plana d'Utiel	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xera	Plana d'Utiel	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Castellfort	Ports	País Valencià	valencian	
Cinctorres	Ports	País Valencià	valencian	
Herbers	Ports	País Valencià	valencian	
Morella	Ports	País Valencià	valencian	
Olocau del Rei	Ports	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Palanques	Ports	País Valencià	valencian	
Portell de Morella	Ports	País Valencià	valencian	
Sorita	Ports	País Valencià	valencian	
Vallibona	Ports	País Valencià	valencian	
Vilafranca (Ports)	Ports	País Valencià	valencian	
Villores	Ports	País Valencià	valencian	
el Forcall	Ports	País Valencià	valencian	
la Mata de Morella	Ports	País Valencià	valencian	
la Todolella	Ports	País Valencià	valencian	
Ademús	Racó d'Ademús	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Cases Altes	Racó d'Ademús	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Cases Baixes	Racó d'Ademús	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Castellfabib	Racó d'Ademús	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Torrebaixa	Racó d'Ademús	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Vallanca	Racó d'Ademús	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
la Pobla de Sant Miquel	Racó d'Ademús	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Alberic	Ribera Alta	País Valencià	valencian	
Alcàntera de Xúquer	Ribera Alta	País Valencià	valencian	
Alfarb	Ribera Alta	País Valencià	valencian	
Algemesí	Ribera Alta	País Valencià	valencian	
Alginet	Ribera Alta	País Valencià	valencian	
Alzira	Ribera Alta	País Valencià	valencian	
Antella	Ribera Alta	País Valencià	valencian	
Beneixida	Ribera Alta	País Valencià	valencian	
Benifaió	Ribera Alta	País Valencià	valencian	
Benimodo	Ribera Alta	País Valencià	valencian	
Benimuslem	Ribera Alta	País Valencià	valencian	
Carcaixent	Ribera Alta	País Valencià	valencian	
Carlet	Ribera Alta	País Valencià	valencian	
Castelló (la Ribera Alta)	Ribera Alta	País Valencià	valencian	
Catadau	Ribera Alta	País Valencià	valencian	
Cotes	Ribera Alta	País Valencià	valencian	
Càrcer	Ribera Alta	País Valencià	valencian	
Gavarda	Ribera Alta	País Valencià	valencian	
Guadassuar	Ribera Alta	País Valencià	valencian	
Llombai	Ribera Alta	País Valencià	valencian	
Manuel	Ribera Alta	País Valencià	valencian	
Massalavés	Ribera Alta	País Valencià	valencian	
Montroi	Ribera Alta	País Valencià	valencian	
Montserrat (Ribera Alta)	Ribera Alta	País Valencià	valencian	
Rafelguaraf	Ribera Alta	País Valencià	valencian	
Real (Ribera Alta)	Ribera Alta	País Valencià	valencian	
Sant Joanet	Ribera Alta	País Valencià	valencian	
Sellent	Ribera Alta	País Valencià	valencian	
Senyera (Ribera Alta)	Ribera Alta	País Valencià	valencian	
Sumacàrcer	Ribera Alta	País Valencià	valencian	
Torís	Ribera Alta	País Valencià	valencian	
Tous	Ribera Alta	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
l'Alcúdia	Ribera Alta	País Valencià	valencian	
l'Ènova	Ribera Alta	País Valencià	valencian	
la Pobla Llarga	Ribera Alta	País Valencià	valencian	
Albalat de la Ribera	Ribera Baixa	País Valencià	valencian	
Almussafes	Ribera Baixa	País Valencià	valencian	
Benicull de Xúquer	Ribera Baixa	País Valencià	valencian	
Corbera	Ribera Baixa	País Valencià	valencian	
Cullera (Ribera Baixa)	Ribera Baixa	País Valencià	valencian	
Favara	Ribera Baixa	País Valencià	valencian	
Fortaleny	Ribera Baixa	País Valencià	valencian	
Llaurí	Ribera Baixa	País Valencià	valencian	
Polinyà de Xúquer	Ribera Baixa	País Valencià	valencian	
Riola	Ribera Baixa	País Valencià	valencian	
Sollana	Ribera Baixa	País Valencià	valencian	
Sueca	Ribera Baixa	País Valencià	valencian	
Ador	Safor	País Valencià	valencian	
Alfauir	Safor	País Valencià	valencian	
Almiserà	Safor	País Valencià	valencian	
Almoines	Safor	País Valencià	valencian	
Barx	Safor	País Valencià	valencian	
Bellreguard	Safor	País Valencià	valencian	
Beniarjó	Safor	País Valencià	valencian	
Benifairó de la Valldigna	Safor	País Valencià	valencian	
Beniflà	Safor	País Valencià	valencian	
Benirredrà	Safor	País Valencià	valencian	
Castellonet de la Conquesta	Safor	País Valencià	valencian	
Daimús	Safor	País Valencià	valencian	
Gandia	Safor	País Valencià	valencian	
Guardamar de la Safor	Safor	País Valencià	valencian	
Llocnou de Sant Jeroni	Safor	País Valencià	valencian	
Miramar	Safor	País Valencià	valencian	
Oliva (Safor)	Safor	País Valencià	valencian	
Palma de Gandia	Safor	País Valencià	valencian	
Palmera (Safor)	Safor	País Valencià	valencian	
Piles	Safor	País Valencià	valencian	
Potries	Safor	País Valencià	valencian	
Rafelcofer	Safor	País Valencià	valencian	
Ròtova	Safor	País Valencià	valencian	
Simat de la Valldigna	Safor	País Valencià	valencian	
Tavernes de la Valldigna	Safor	País Valencià	valencian	
Vilallonga	Safor	País Valencià	valencian	
Xeraco	Safor	País Valencià	valencian	
Xeresa	Safor	País Valencià	valencian	
el Real de Gandia	Safor	País Valencià	valencian	
l'Alqueria de la Comtessa	Safor	País Valencià	valencian	
la Font d'en Carròs	Safor	País Valencià	valencian	
Alpont	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Andilla	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Ares dels Oms	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Benaixeve	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Bugarra	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Calles	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Domenyo	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Figueroles de Domenyo	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Pedralba	Serrans	País Valencià	valencian	
Sot de Xera	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Titaigües	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Toixa	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xelva	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xestalgar	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xulilla	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
el Villar	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
la Iessa	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
la Llosa del Bisbe	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
les Alcubles	Serrans	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Agullent	Vall d'Albaida	País Valencià	valencian	
Aielo de Malferit	Vall d'Albaida	País Valencià	valencian	
Aielo de Rugat	Vall d'Albaida	País Valencià	valencian	
Albaida	Vall d'Albaida	País Valencià	valencian	
Alfarrasí	Vall d'Albaida	País Valencià	valencian	
Atzeneta d'Albaida	Vall d'Albaida	País Valencià	valencian	
Bellús	Vall d'Albaida	País Valencià	valencian	
Beniatjar	Vall d'Albaida	País Valencià	valencian	
Benicolet	Vall d'Albaida	País Valencià	valencian	
Benigànim	Vall d'Albaida	País Valencià	valencian	
Benissoda	Vall d'Albaida	País Valencià	valencian	
Benissuera	Vall d'Albaida	País Valencià	valencian	
Bocairent	Vall d'Albaida	País Valencià	valencian	
Bufali	Vall d'Albaida	País Valencià	valencian	
Bèlgida	Vall d'Albaida	País Valencià	valencian	
Carrícola	Vall d'Albaida	País Valencià	valencian	
Castelló de Rugat	Vall d'Albaida	País Valencià	valencian	
Fontanars dels Alforins	Vall d'Albaida	País Valencià	valencian	
Guadasséquies	Vall d'Albaida	País Valencià	valencian	
Llutxent	Vall d'Albaida	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Montaverner	Vall d'Albaida	País Valencià	valencian	
Montitxelvo	Vall d'Albaida	País Valencià	valencian	
Ontinyent	Vall d'Albaida	País Valencià	valencian	
Otos	Vall d'Albaida	País Valencià	valencian	
Pinet (València)	Vall d'Albaida	País Valencià	valencian	
Quatretonda	Vall d'Albaida	País Valencià	valencian	
Rugat	Vall d'Albaida	País Valencià	valencian	
Salem (Vall d'Albaida)	Vall d'Albaida	País Valencià	valencian	
Sempere	Vall d'Albaida	País Valencià	valencian	
Terrateig	Vall d'Albaida	País Valencià	valencian	
el Palomar	Vall d'Albaida	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
el Ràfol de Salem	Vall d'Albaida	País Valencià	valencian	
l'Olleria	Vall d'Albaida	País Valencià	valencian	
la Pobla del Duc	Vall d'Albaida	País Valencià	valencian	
Aiora	Vall de Cofrents	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Cofrents	Vall de Cofrents	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Cortes de Pallars	Vall de Cofrents	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Teresa de Cofrents	Vall de Cofrents	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xalans	Vall de Cofrents	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xarafull	Vall de Cofrents	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Zarra	Vall de Cofrents	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Asp	Vinalopó Mitjà	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Elda	Vinalopó Mitjà	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
La Romana (Vinalopó Mitjà)	Vinalopó Mitjà	País Valencià	valencian	
Montfort (Vinalopó Mitjà)	Vinalopó Mitjà	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Monòver	Vinalopó Mitjà	País Valencià	valencian	
Novelda	Vinalopó Mitjà	País Valencià	valencian	
Petrer	Vinalopó Mitjà	País Valencià	valencian	
el Fondó de les Neus	Vinalopó Mitjà	País Valencià	valencian	
el Fondó dels Frares	Vinalopó Mitjà	País Valencià	valencian	
el Pinós	Vinalopó Mitjà	País Valencià	valencian	
l'Alguenya	Vinalopó Mitjà	País Valencià	valencian	
